ATG7_T1	ATG7_T2	ATG7_T3	pMXS_T1	pMXS_T2	pMXS_T3
Mir148a	0	0	0	0	0	0
Gm44447	1	0	0	0	0	0
Gm26677	0	0	0	0	0	0
Gm6559	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0
Nfe2l3	0	0	0	0	0	0
Hnrnpa2b1	0	1	0	0	0	2
Cbx3	0	0	0	0	0	0
Snx10	0	0	0	0	0	0
Gm22914	0	0	0	0	0	0
Gm44191	0	0	0	0	0	0
Skap2	0	0	0	0	0	0
Gm44077	0	0	0	0	0	0
Halr1	0	0	0	0	0	0
Rps8-ps3	0	0	0	0	0	0
Rps19-ps14	0	0	0	0	0	0
Hoxa1	0	0	0	0	0	0
Hotairm1	0	0	0	0	0	0
Gm27867	0	0	0	0	0	0
Gm27861	0	0	0	0	0	0
Gm27868	0	0	0	0	0	0
Gm27477	0	0	0	0	0	0
Hoxa2	0	0	0	0	0	0
Gm28308	103	67	26	43	104	51
Hoxaas2	0	0	0	0	0	0
Hoxa3	0	0	0	0	0	0
Gm15050	0	0	0	0	0	0
Hoxaas3	0	0	0	0	0	0
5730596B20Rik	27	19	18	20	22	24
Gm29430	0	0	0	0	0	0
Hoxa4	0	0	0	0	0	0
Hoxa5	0	0	0	0	0	0
Hoxa6	0	0	2	0	0	0
Hoxa7	0	0	0	0	0	0
Hoxa9	0	0	0	0	0	0
Mir196b	0	0	0	0	0	0
Hoxa10	0	0	0	0	0	0
Hoxa11	0	2	1	0	7	0
Hoxa11os	11	2	18	5	19	13
Gm28032	0	0	0	0	0	0
Gm27492	0	0	0	0	0	0
Gm27695	0	0	0	0	0	0
Gm27817	0	0	0	0	0	0
Gm27454	0	0	0	0	0	0
Gm27543	0	0	0	0	0	0
9530018H14Rik	0	0	0	0	0	0
Hoxa13	0	0	0	0	0	0
Gm27280	0	0	2	0	0	0
Gm27985	0	0	0	0	0	0
Hottip	0	0	0	0	0	0
Gm27383	0	0	0	0	0	0
Gm27866	0	0	0	0	0	0
Gm44294	0	0	0	0	0	0
Evx1os	0	0	0	0	0	0
Evx1	0	0	0	0	0	0
Gm8129	0	0	0	0	0	0
Gm15054	0	0	0	0	0	0
1700094M24Rik	0	0	0	0	0	0
Gm44028	0	0	0	0	0	0
Hibadh	26	31	28	31	25	36
Gm44445	115	107	90	143	130	151
Gm44434	474	504	417	532	609	537
Gm24355	12	16	13	19	14	8
Gm43966	0	0	0	3	4	3
Tax1bp1	1	0	7	0	0	0
Gm43967	0	4	1	7	5	3
Jazf1	688	713	506	719	742	801
Gm15572	0	0	0	0	0	0
Gm26215	0	0	0	0	0	0
Gm15573	7	12	2	2	6	2
Gm8143	205	278	168	236	214	215
Gm4872	2669	2907	2254	2839	3051	2789
9430076C15Rik	4	6	0	30	10	8
Gm25818	0	0	0	0	0	0
Gm44080	12604	12906	11332	7840	10870	17208
Gm5306	0	0	0	0	0	4
Tril	0	0	1	1	1	3
Gm43938	5	1	0	4	6	1
Gm16499	0	0	0	0	0	0
Gm22910	0	0	0	0	0	0
Cpvl	6	4	13	8	20	15
4921529L05Rik	6	6	11	1	8	4
Chn2	0	0	0	0	0	0
9530036M11Rik	35	53	60	55	65	56
Gm15526	6	2	11	4	1	3
Gm15527	10223	9687	7454	10277	10494	10566
9130019P16Rik	231	329	248	566	297	532
Prr15	0	0	0	0	0	0
Wipf3	0	2	0	0	0	0
Gm44026	44	16	21	30	65	55
Scrn1	6	7	1	3	2	3
Fkbp14	37	63	22	52	48	42
Plekha8	1432	1359	1100	1324	1385	1462
Gm28402	0	0	0	0	0	0
Mturn	0	0	0	0	0	0
Gm44008	0	0	0	0	0	0
Znrf2	0	0	0	0	0	0
Gm44185	0	0	0	0	0	0
Nod1	0	0	0	0	0	0
Gm24230	0	0	0	0	0	0
Ggct	0	0	0	0	0	0
Gars	1	0	0	1	1	0
Crhr2	0	0	0	0	3	0
Gm43995	46	74	64	67	54	151
Inmt	70	59	75	100	92	103
Fam188b	148	210	122	196	169	191
Gm44073	19	29	19	30	19	40
Gm25458	0	0	0	0	0	0
Aqp1	0	0	0	0	0	3
Ghrhr	202	203	120	204	222	196
6430584L05Rik	0	0	0	0	0	0
Adcyap1r1	41	18	17	34	44	42
Gm44352	3	3	0	1	0	0
Neurod6	213	214	67	201	164	157
Gm3279	781	873	634	845	722	795
Ccdc129	276	375	375	331	340	768
Ppp1r17	1881	1417	1125	5145	2309	2132
Pde1c	0	0	0	0	0	0
Gm44413	3	0	1	0	1	0
Gm8239	0	0	0	0	0	0
Gm24709	0	0	0	0	3	0
Gm22493	0	1	0	0	0	1
Lsm5	0	0	0	0	0	0
Avl9	44	52	47	67	31	46
Kbtbd2	872	752	486	946	828	1028
Gm10209	0	0	0	3	0	0
Fkbp9	0	0	0	0	0	0
Nt5c3	7	3	3	3	44	18
Gm3793	3	3	0	4	0	2
Vmn1r4	0	0	0	0	0	0
Gm44049	13	30	14	43	41	56
Vmn1r5	0	0	0	0	0	0
Vmn1r6	9	8	5	3	3	3
Vmn1r7	1003	1119	816	1184	1080	1061
Vmn1r8	0	0	0	0	0	0
Vmn1r9	1	3	0	0	0	0
Vmn1r10	2	6	4	9	6	27
Vmn1r11	0	3	2	1	0	7
Vmn1r12	21	19	6	119	65	46
Vmn1r-ps8	0	0	0	0	0	0
Vmn1r13	230	246	134	210	224	214
Vmn1r14	0	1	0	0	0	0
Vmn1r15	1	6	3	2	3	8
Vmn1r-ps9	8	2	2	11	10	6
Vmn1r-ps10	0	0	2	2	0	0
Vmn1r16	0	0	0	0	0	0
Vmn1r17	0	0	0	0	0	0
Vmn1r18	0	0	0	0	0	0
Vmn1r19	2	0	0	4	8	2
Vmn1r20	0	0	0	0	2	1
Vmn1r-ps11	2635	2797	2251	2766	2789	3033
4930533I22Rik	0	0	0	0	0	0
Gm45193	2	4	0	3	5	5
Ppm1k	0	0	0	0	0	0
Gm27896	0	0	0	0	0	0
Herc6	0	0	0	0	0	0
Gm19244	55	43	30	72	54	66
Gm37397	21	36	10	49	48	17
Pyurf	989	1087	833	570	624	852
Gm26712	1	0	0	0	0	2
Lancl2	1	0	1	0	2	1
Vopp1	0	0	0	1	0	0
Vmn1r21	14	11	4	11	2	4
Gm44114	4	5	4	20	9	17
Gm25726	0	0	0	0	0	0
Vmn1r-ps12	124	124	57	109	75	94
Vmn1r22	0	0	0	2	0	0
Vmn1r23	0	1	0	0	0	0
Gm20660	26	28	26	50	54	35
Vmn1r24	13	5	7	12	6	20
Vmn1r25	0	0	0	0	0	0
Vmn1r-ps13	0	0	0	0	0	0
Vmn1r26	4	12	4	1	8	7
Rps15-ps2	0	0	0	0	0	0
Vmn1r-ps14	0	0	0	0	0	0
Vmn1r-ps15	0	0	0	13	2	4
Gm6695	0	2	1	1	2	0
Vmn1r-ps16	0	0	0	0	0	0
Vmn1r-ps17	0	0	0	0	0	0
Gm20718	1933	1636	1225	976	1185	1718
Gm43994	0	0	0	0	0	0
Vmn1r-ps18	1131	1355	835	1702	1711	1556
Vmn1r27	0	3	5	4	2	0
Vmn1r-ps19	0	0	0	1	0	0
Vmn1r28	20	12	4	2	1	10
Vmn1r29	1	0	0	2	1	1
Gm20674	0	0	0	0	0	0
Vmn1r-ps20	0	0	0	0	0	0
Vmn1r30	0	0	0	0	0	0
Gm44016	13	10	25	4	9	25
Vmn1r-ps21	13	22	18	8	14	15
Gm44042	35	71	76	65	65	183
Gm20673	33	47	18	48	65	51
Vmn1r31	4	17	13	2	0	5
Vmn1r-ps22	976	1164	856	1016	994	1120
Vmn1r-ps23	158	191	117	193	201	188
Gm20672	0	0	0	0	0	0
Abcg2	7	8	9	17	11	4
Gm43899	16	13	15	29	16	19
Herc3	0	0	0	0	0	0
Nap1l5	172	133	114	145	114	107
Fam13a	0	0	3	0	0	0
Gm45060	8	5	8	7	9	5
BB365896	0	0	0	0	0	0
Gm45061	5	5	0	13	4	7
Gm19165	41	33	20	60	47	34
Gm22367	1238	1263	978	1241	1217	1421
Gm43905	0	2	4	0	4	3
Tigd2	5056	4887	3213	4225	4268	4121
Gprin3	112	112	76	131	114	124
Gm22622	2175	2279	1218	2527	2943	2624
Gm18012	2	2	1	3	11	4
Gm5570	0	0	1	1	0	2
Gm22723	2854	2640	1845	2578	2321	2383
n-R5s162	0	0	0	0	0	0
A530053G22Rik	0	0	0	0	0	0
Gm44389	0	0	0	0	0	0
Gm44410	0	0	0	0	0	0
Gm35386	0	0	0	0	0	0
Snca	0	0	0	5	8	4
Mageb16-ps2	4	2	6	0	1	6
Gm43864	2	2	0	0	0	0
Gm43867	653	540	390	717	715	664
Mmrn1	0	0	0	0	0	0
Gm18838	0	0	0	0	0	0
Gm43892	161	157	101	124	133	91
Gm43893	0	0	0	0	0	0
Gm43894	0	0	0	0	0	0
A730020E08Rik	0	0	0	0	0	0
Ccser1	0	0	0	0	0	0
Gm43898	0	0	0	0	0	0
Gm43896	5	3	11	9	1	3
Gm43897	5	0	0	3	1	3
Gm43895	0	0	0	0	3	1
Gm19237	0	0	0	0	0	0
Gm44088	3	0	0	0	0	0
Gm44092	0	0	0	0	0	0
Gm18540	0	0	0	0	0	0
Gm5001	0	0	0	0	0	0
Gm19131	0	0	0	0	0	0
Nasp-ps1	0	0	0	0	0	0
Gm22212	0	0	0	0	0	0
9330118I20Rik	0	0	0	0	0	0
Grid2	0	0	0	0	0	0
Gm44071	0	0	0	0	4	2
Gm44075	14	13	12	8	11	14
Gm44072	34	15	13	138	72	39
Gm20144	8	0	0	6	9	2
Gm25205	0	0	0	0	0	0
Atoh1	481	487	357	576	515	589
Gm18839	2	5	3	14	9	17
Gm44038	0	0	0	0	0	0
Gm15534	0	0	0	0	2	3
Smarcad1	0	0	0	0	1	0
Hpgds	27	22	8	18	22	19
Gm17147	0	0	4	2	6	0
Gm44419	1	2	0	3	5	2
Gm3549	0	0	0	0	0	0
Gm44058	6	2	3	6	10	5
Gm44059	4	1	1	4	2	2
Gm20177	0	0	0	0	0	0
Gm44060	0	0	0	0	0	0
Gm44061	1209	1176	835	748	881	1001
Gm8479	0	0	0	0	0	0
C130060K24Rik	996	944	819	1088	1099	1033
Gm18716	1211	1152	762	1423	1356	1344
Gm18913	89	77	60	227	172	156
Tnip3	0	0	0	0	0	0
Ndnf	378	348	246	327	327	390
Gm15490	1	8	4	1	7	1
Gm16838	301	296	267	336	294	280
Prdm5	0	0	0	0	0	0
Gm23543	0	0	0	0	0	1
Gm20445	0	0	0	0	0	0
4930544G11Rik	0	0	0	0	0	0
Gm44404	0	0	0	0	0	0
Gm23625	613	522	349	540	707	570
Gm5876	0	0	0	0	0	0
Gm44289	0	0	0	0	0	0
Gm31520	9	4	9	5	11	10
Gm44281	2	1	0	0	2	0
Gm44233	0	0	0	0	0	0
Gm44029	300	254	237	264	359	365
Gm19764	0	2	0	1	3	1
Gm6786	255	328	233	264	267	329
Mad2l1	0	0	0	0	0	0
Vmn1r32	0	0	0	0	0	0
Gm5307	0	0	0	0	0	0
Vmn1r33	30	16	16	34	42	24
Vmn1r34	0	1	2	0	0	2
Vmn1r35	141	140	105	149	150	165
Gm6794	0	0	0	0	0	0
Vmn1r36	25	36	22	24	34	14
Vmn1r37	258	246	179	309	243	283
Gm44261	2	0	1	1	0	2
Gm4045	1	0	0	0	1	0
Vmn1r-ps24	2634	2843	2332	2804	2921	2985
Vmn1r38	1109	914	544	1101	1016	952
Vmn1r39	0	0	0	0	0	0
Gm9794	37	59	71	75	62	116
4930597O21Rik	1103	1158	867	1205	974	1017
Gng12	5	13	7	8	6	9
Gm43956	1027	1066	596	1103	1100	1036
Gm15644	2299	1749	1296	2464	2703	2501
Gm29848	661	697	470	789	856	799
Gm25260	0	0	0	0	0	0
Gadd45a	0	1	0	1	1	2
E230016M11Rik	24	19	12	19	15	15
A430010J10Rik	0	0	0	0	0	0
Gm44051	5	11	1	13	14	9
Gm8566	0	1	0	5	0	0
Gm44052	0	0	0	0	0	0
Serbp1	0	0	0	0	0	0
Gm44050	0	0	0	0	0	0
Il12rb2	0	0	0	0	0	0
Gm8574	0	0	0	0	0	0
Gm44208	0	2	0	2	1	1
Gm4761	0	0	0	0	0	0
Gm44083	0	0	0	0	0	0
Il23r	0	0	0	0	0	0
Gm42889	2025	2051	1375	2039	1983	1821
Tacstd2	997	855	584	858	977	743
Igkv2-137	0	0	0	0	0	0
4930515G16Rik	0	0	0	0	1	2
Igkv1-136	0	1	0	0	0	0
Igkv1-135	2659	2907	1914	2457	2649	2556
Gm9728	10	6	0	5	12	4
Rpl18a-ps2	0	0	0	0	0	0
Igkv14-134-1	6	10	1	12	23	12
Igkv17-134	0	0	0	0	0	0
Igkv1-133	0	0	0	0	0	0
Gm5308	17	14	7	25	22	21
Rpl18a-ps3	1195	1121	706	1210	1446	1382
Gm43284	0	0	0	0	0	0
Igkv1-132	0	0	0	0	0	0
Igkv1-131	0	0	0	0	0	0
Gm18980	0	0	1	2	2	6
Igkv14-130	0	0	0	0	1	0
Gm22425	0	0	0	0	0	0
Gm24911	0	0	0	0	0	0
Igkv9-129	0	0	0	0	0	0
Igkv9-128	0	0	0	0	0	0
Igkv17-127	47	69	33	58	78	83
Igkv14-126-1	312	332	213	333	342	341
Gm9729	231	232	187	246	247	232
Igkv14-126	0	0	0	0	0	0
Gm25910	10	12	2	14	11	11
Igkv11-125	1043	1010	649	818	867	875
Igkv9-124	627	671	409	445	531	568
Igkv9-123	0	0	1	0	1	0
Igkv1-122	0	0	0	0	0	0
Igkv17-121	0	0	0	0	0	0
Igkv9-120	0	1	0	0	0	0
Igkv9-119	327	274	140	240	207	228
Igkv14-118-2	129	146	86	133	153	128
Igkv14-118-1	0	0	0	0	0	0
Gm43739	0	0	0	0	0	0
Gm5309	341	402	265	323	410	299
Igkv11-118	1	0	0	0	1	0
Igkv1-117	0	0	0	0	0	2
Gm43171	1	0	0	4	0	0
Gm43170	0	0	0	0	0	0
Igkv2-116	0	1	0	3	8	4
Igkv1-115	0	0	0	2	0	0
Igkv11-114	0	0	1	1	1	0
Igkv2-113	1203	1107	812	888	949	1027
Gm4873	0	0	0	0	0	0
Igkv2-112	0	0	0	1	0	0
Igkv14-111	1	1	0	0	0	0
Gm25436	6	9	3	9	4	11
Igkv1-110	48	22	17	185	141	36
Gm43007	400	410	299	308	335	385
Gm42612	1	3	9	2	12	12
Igkv2-109	371	413	337	437	438	380
Igkv1-108	3	2	0	3	8	2
Igkv2-107	0	0	0	0	0	0
Igkv11-106	1571	1403	958	1435	1510	1384
Igkv2-105	2464	2681	1643	2302	2708	2435
Gm5310	0	0	0	0	0	3
Igkv16-104	4	6	2	15	12	5
Igkv15-103	1	0	0	1	0	0
Igkv15-102	20025	21620	16866	20693	22544	20497
Igkv20-101-2	1	1	2	3	2	3
Igkv15-101-1	0	1	0	0	0	1
Igkv15-101	0	0	0	0	0	0
Igkv14-100	0	0	0	0	0	0
Gm25833	108	108	91	109	130	137
Igkv1-99	0	0	0	0	0	0
Igkv12-98	598	444	378	464	448	456
Igkv15-97	288	265	185	264	244	259
Igkv10-96	0	0	0	0	0	0
Igkv2-95-2	0	0	0	0	0	0
Igkv2-95-1	0	0	0	0	0	0
Igkv10-95	0	0	0	1	1	2
Igkv10-94	759	702	496	665	738	630
Igkv2-93-1	2	1	0	0	0	2
Gm40414	0	0	0	0	0	0
Igkv19-93	0	0	0	0	0	0
Igkv4-92	0	0	0	0	0	0
Gm42925	0	0	0	0	0	0
Igkv4-91	0	0	0	0	0	0
Igkv4-90	0	0	0	0	0	0
Gm42924	0	1	0	1	2	0
Igkv12-89	95	67	43	134	154	208
Igkv1-88	0	0	0	0	0	0
Gm42539	0	0	17	4	0	2
Gm42543	0	0	0	0	0	0
Gm42542	0	0	0	0	0	0
Igkv13-87	0	0	0	0	0	0
Gm43710	0	0	0	0	0	0
Igkv4-86	294	358	216	277	297	339
Igkv13-85	0	1	0	0	0	0
Igkv13-84	1	0	0	0	0	2
Igkv4-83	1124	1101	795	1114	1058	1000
Igkv13-82	653	706	502	592	558	514
Igkv4-81	0	6	0	0	2	4
Igkv13-80-1	153	122	78	263	146	148
Igkv4-80	0	0	0	0	0	0
Igkv4-79	1447	1533	1134	1692	1909	1614
Igkv13-78-1	11	11	7	6	8	46
Igkv4-78	0	0	4	5	6	0
Gm43583	0	0	0	0	0	0
Igkv4-77	0	0	0	0	0	0
Igkv13-76	0	0	0	0	0	0
Igkv4-75	0	0	0	1	1	0
Igkv13-74-1	6	2	6	14	4	9
Igkv4-74	2	3	2	13	8	4
Igkv13-73-1	0	0	0	0	0	0
Igkv4-73	10	1	0	7	18	8
Igkv4-72	0	0	0	0	0	0
Igkv13-71-1	0	0	0	0	0	0
Igkv4-71	385	365	272	389	387	397
Igkv4-70	5	2	0	5	1	1
Igkv4-69	6	3	7	11	8	5
Igkv4-68	128	128	89	244	192	157
Igkv12-67	3	2	2	4	0	4
Rprl1	8022	8884	7090	8104	8435	7868
Rprl1.1	827	751	485	696	758	625
Igkv12-66	3067	3245	2657	3249	3137	3469
Igkv4-65	1190	1099	807	1231	1218	1135
Igkv13-64	44	53	25	49	41	66
Igkv4-63	804	748	510	911	854	797
Igkv13-62-1	6350	6243	4072	5722	5633	5462
Igkv4-62	1234	1205	837	1219	1174	1101
Igkv13-61-1	451	469	392	541	501	484
Igkv4-61	391	376	272	436	475	414
Igkv4-59	4556	4938	4054	4713	4944	4905
Igkv4-60	41	25	13	176	46	30
Igkv4-58	363	383	203	429	403	331
Rn7s6	17	22	10	29	31	13
AC156953.1	8563	8724	6561	7760	8125	7954
Igkv13-57-2	1424	1482	1052	1382	1320	1497
Igkv4-57-1	13	27	13	22	28	12
Igkv13-57-1	651	613	421	629	677	649
Igkv4-57	0	0	0	0	0	0
Igkv13-56-1	53	36	47	46	80	63
Igkv4-56	1	1	2	2	0	1
Igkv13-55-1	0	0	0	0	0	0
Igkv4-55	0	0	0	0	0	0
Igkv13-54-1	0	0	0	0	0	0
Igkv4-54	3	12	6	4	1	3
Igkv4-53	423	443	384	343	469	402
Gm42606	422	399	248	386	471	339
Igkv4-51	219	240	292	375	258	580
Gm42958	82	134	150	314	163	283
Igkv4-50	38	84	80	141	104	165
Igkv12-49	0	2	2	4	7	18
Igkv5-48	0	0	0	2	3	0
Igkv12-47	0	0	0	0	0	0
Igkv12-46	28	36	53	14	30	39
Igkv5-45	75	90	58	79	53	48
Igkv12-44	39	73	42	96	81	71
Igkv5-43	0	0	0	0	0	2
Igkv12-42	0	0	0	0	0	0
Igkv12-41	0	0	0	0	0	0
Igkv5-40-1	3	0	0	0	0	0
Igkv12-40	0	0	0	0	0	0
Igkv5-39	0	3	4	1	4	2
Gm43220	0	0	0	0	0	0
Igkv12-38	748	668	453	642	654	630
Igkv5-37	0	0	0	0	0	0
Igkv18-36	0	0	0	0	0	0
Igkv1-35	0	0	0	0	0	0
Gm23694	0	0	0	0	0	0
Gm43586	0	0	0	0	0	0
Igkv8-34	0	0	0	0	0	0
Igkv7-33	0	0	0	0	0	0
Igkv6-32	0	0	0	0	0	0
Igkv8-31	0	0	0	0	0	0
Igkv8-30	0	0	0	0	0	0
Gm42818	109	105	60	88	89	90
Igkv6-29	54	53	25	41	38	49
Igkv8-28	0	0	0	0	0	0
Gm24096	0	0	0	0	0	0
Igkv8-27	0	0	0	0	0	0
Igkv8-26	166	152	120	276	204	121
Gm8828	66	67	60	90	75	70
Igkv6-25	98	58	53	87	88	79
Igkv8-24	0	0	0	0	0	0
Gm43218	0	0	0	0	0	0
Igkv6-23	0	0	25	2	0	0
Gm8836	14739	15135	10567	14433	14155	13697
Gm11065	0	0	0	0	1	2
Igkv8-22	0	0	0	0	0	0
Igkv8-21	4	0	4	5	2	11
Amd-ps5	0	0	0	0	0	0
Igkv6-20	0	0	0	0	0	0
Igkv8-19	0	0	0	0	0	0
Igkv8-18	99	138	52	449	311	308
Gm8848	0	0	0	0	0	0
Igkv6-17	50	51	42	61	48	49
Igkv8-16	0	0	0	0	0	0
Gm42667	1351	1467	1051	1484	1205	1179
Igkv6-15	0	0	0	0	0	0
Gm8853	9	19	19	23	6	23
Gm10360	146	157	102	195	180	159
Gm6157	0	0	0	0	0	0
Igkv6-14	0	0	0	0	0	0
Gm8862	94	87	73	280	117	150
Igkv6-13	440	484	344	888	641	635
Gm8872	508	502	351	464	523	752
Gm42720	0	0	0	0	0	0
Gm42773	0	0	0	1	0	0
Igkv3-12-1	312	307	213	312	335	385
Igkv3-12	0	0	0	0	0	0
Igkv3-11	9	4	6	6	1	2
Igkv3-10	0	0	0	0	4	0
Igkv3-9	0	0	0	0	0	0
Igkv3-8	0	2	0	0	0	3
Igkv3-7	0	0	1	0	0	1
Igkv3-6	3	1	0	4	1	3
Igkv3-5	0	0	1	0	0	0
Igkv3-4	0	0	0	0	0	0
Igkv3-3	0	0	0	0	2	1
Igkv3-2	103	109	79	72	77	98
Igkv3-1	0	0	0	0	0	0
Gm43291	0	0	0	0	0	0
Igkj1	1	3	0	15	0	6
Igkj2	0	0	0	0	0	0
Igkj3	0	0	0	0	0	0
Igkj4	0	0	0	0	0	0
Igkj5	0	2	0	2	0	0
Igkc	204	151	115	186	157	139
Rpia	1027	1028	929	655	828	1220
Eif2ak3	0	0	0	0	0	0
Gm23346	0	0	0	0	0	0
Gm43292	0	0	0	0	1	1
Tex37	2911	3155	2621	2329	2739	2939
Foxi3	132	105	100	87	185	191
Gm23485	4	2	4	8	13	6
Gm43906	0	1	0	0	1	0
Rpl34-ps1	0	0	0	0	0	0
Thnsl2	0	0	0	0	0	0
Gm44427	0	0	0	0	0	3
Fabp1	516	504	336	467	439	452
Smyd1	1	0	3	0	7	6
Mir8112	38	47	20	36	65	71
Krcc1	1	2	0	2	0	0
Gm44321	0	0	0	0	0	0
Gm1070	0	0	0	1	0	0
Cd8b1	0	0	0	0	0	0
Gm44110	24	43	38	79	56	76
Gm44111	0	0	0	0	0	0
Gm44174	1	0	0	0	0	0
Gm44175	0	0	0	0	0	0
Cd8a	0	0	0	0	0	0
Rmnd5a	0	0	0	0	0	0
Gm44130	15	15	11	20	20	33
Gm44172	0	0	0	0	0	0
Gm44186	0	0	0	0	0	0
Rnf103	8	1	1	8	7	9
Gm44194	839	971	790	652	807	1484
1700040L08Rik	217	227	148	103	162	329
Chmp3	232	260	157	305	214	185
Kdm3a	0	0	0	0	0	0
Gm6063	0	0	0	0	0	0
Gm44768	194	205	117	186	240	153
Rpl19-ps9	15	23	17	36	38	35
Reep1	20	14	7	28	26	25
Gm44769	23	10	9	23	25	14
Gm44770	6	1	10	9	6	2
Mrpl35	11	9	9	11	3	17
Gm44771	0	0	0	0	0	0
Immt	0	0	0	0	0	0
Gm17825	18	10	5	10	12	19
Ptcd3	0	0	0	0	0	0
Gm22486	0	0	0	0	0	0
Polr1a	0	0	0	0	0	0
Gm19078	0	0	0	0	0	0
Gm26628	4	0	0	3	0	0
9130221F21Rik	0	0	0	0	0	0
Gm8952	1	1	0	0	0	0
Gm44604	0	0	0	0	0	0
St3gal5	3	7	3	10	6	7
Gm29438	234	255	169	328	322	266
4933431G14Rik	178	209	149	227	193	178
Gm45050	71	55	42	96	69	67
Atoh8	2447	2248	1725	2243	2201	2193
Sftpb	0	0	0	0	0	0
Usp39	0	0	0	0	0	0
Gm45051	0	0	0	0	0	0
0610030E20Rik	3	6	1	5	2	1
Tmem150a	0	2	0	0	0	1
Rnf181	0	0	0	0	2	4
Vamp5	0	0	0	0	0	0
Vamp8	3	3	4	7	0	5
Ggcx	0	0	0	0	0	0
Mat2a	77	43	54	62	47	68
Particl	0	0	0	0	0	0
Sh2d6	0	0	0	0	0	0
Capg	0	0	0	0	0	0
Elmod3	0	0	0	0	0	0
Retsat	0	0	0	0	0	0
Gm45053	15	7	19	14	13	10
Tgoln1	50	67	29	33	62	39
Gm20536	60	54	26	43	41	33
Tcf7l1	1	5	4	2	2	9
Gm15401	27	34	11	31	27	37
Gm37969	3	1	0	6	1	5
Gm38114	153	158	94	188	190	175
Gm38320	875	804	534	751	818	697
Gm15402	214	166	128	132	176	128
Gm37736	0	0	0	0	0	0
Kcmf1	0	0	0	0	0	0
D530018E20Rik	1	0	1	1	1	0
Gm26640	2	3	0	0	2	1
Tmsb10	107	104	69	104	122	105
Gm18402	1826	1867	1202	1622	1666	1948
Gm44031	0	0	0	0	0	0
Dnah6	0	0	0	0	0	0
Gm24533	0	0	0	0	0	0
Gm44362	0	0	0	0	0	0
Suclg1	6223	5666	3911	6055	6150	6302
Gm44475	0	0	0	0	4	0
Gm24370	211	219	128	206	233	203
Olfr210-ps1	9	5	10	20	14	11
1700065L07Rik	1	0	2	1	0	0
4931417E11Rik	223	192	126	271	279	248
Gm4374	0	0	1	0	8	0
Gm31747	0	4	1	4	0	0
Gm44225	729	757	526	528	568	677
Gm26179	0	0	0	0	0	0
Gm23924	4	0	0	15	2	5
Gm22254	0	0	0	0	0	0
Gm8992	0	0	0	3	3	3
Gm8993	0	0	0	0	0	0
Gm6210	576	642	391	550	591	590
Gm8999	175	187	126	201	199	179
4933439N06Rik	76	69	21	45	45	57
Gm9001	0	0	0	0	0	0
Gm44113	0	0	0	0	0	0
Gm5995	0	0	0	0	0	0
Gm44334	78	101	66	68	74	81
Gm22283	2	0	0	2	0	0
Gm44126	0	0	0	0	0	0
Gm44163	0	0	0	0	0	0
Gm9008	0	0	0	0	0	0
Gm44166	0	0	0	0	0	0
Ctnna2	4	1	13	2	3	1
Lrrtm1	0	0	0	0	0	0
Gm44234	153	231	184	797	204	335
6330415B21Rik	0	0	0	0	0	0
Gm44435	1	0	6	0	0	2
Gm44433	1020	1043	574	979	988	1031
Gm44235	0	1	0	0	1	1
Gm44438	0	0	0	0	0	0
Gm44286	0	0	0	1	0	0
Gm44288	19	23	5	24	18	5
Gm44437	0	0	0	0	0	0
Gm44255	0	1	2	1	2	0
Gm21045	10	15	16	38	37	14
Gm5576	0	0	0	4	3	8
Reg3b	0	0	0	0	0	0
Reg3d	190	173	123	178	172	164
Reg3a	9	6	17	4	11	10
Reg2	22	31	14	20	12	20
Reg1	0	0	0	0	0	0
Reg3g	189	202	115	134	158	125
Gm21392	0	0	0	0	0	0
Gm6072	0	0	0	0	0	0
Gm23727	0	0	0	0	0	0
Gm29005	129	152	96	153	173	155
Gm20362	81	118	83	101	69	108
Gm5311	0	0	0	0	0	0
Gm6261	444	435	324	311	417	509
Gm44271	0	0	0	0	0	0
Gm20594	0	0	0	0	0	1
Gm4409	12	6	5	12	3	29
Lrrtm4	0	0	0	1	0	1
Gm44240	0	0	0	0	0	0
Gm44228	422	479	303	104	177	376
Gm44230	3	2	8	2	0	5
Gm20371	0	0	0	0	0	0
Gm44241	0	0	0	0	0	0
Gm44229	0	0	0	0	0	0
Gm44242	0	0	0	0	0	0
Gm44231	0	0	0	4	9	0
Gm43900	0	0	0	0	0	0
Gm43901	0	0	0	0	0	0
Gm26264	70	43	46	47	39	53
Gm43902	0	0	0	0	0	0
Gm22530	151	96	85	145	132	115
Gm4874	0	0	0	0	0	0
Gm38840	12	9	8	8	25	9
1700097M23Rik	0	0	0	0	0	0
Mir7232	0	0	0	0	0	0
Mir468	0	0	0	0	0	0
1700009C05Rik	1	3	0	1	2	0
Gcfc2	105	139	75	180	144	200
Mrpl19	61	44	20	76	59	30
Gm20383	0	0	0	0	0	0
Gm44202	0	0	0	0	0	0
Eva1a	0	0	0	0	0	0
Gm15864	0	0	0	0	0	0
Gm31861	0	0	0	0	0	0
Gm44209	0	0	0	0	1	4
Tacr1	1	0	5	4	0	1
Pole4	0	6	1	2	4	4
Gm44145	401	412	311	478	440	428
Hk2	372	458	282	507	455	428
Gm17034	0	0	0	0	0	0
Gm44884	115	94	63	73	90	90
