AD_C1	AD_C2	AD_C3	ATG7_T1	ATG7_T2	ATG7_T3
Gm24966	0	0	0	0	0	0
Gm22496	0	0	0	0	0	0
Gm25648	0	0	0	0	0	0
Gm24306	0	0	0	0	0	0
Gm25934	2	1	0	0	2	0
Gm25156	0	0	0	0	0	0
Gm26488	0	1	0	0	1	0
Gm24220	0	1	0	0	0	0
Gm24653	0	0	0	0	0	0
Gm24969	0	0	0	0	0	0
Gm24417	0	0	0	0	0	0
Gm25121	5	2	3	2	10	11
Gm24657	0	0	0	0	0	0
Gm26230	0	0	0	0	0	0
Gm23922	0	0	0	3	3	0
Gm25314	0	0	0	0	0	0
Gm26096	0	0	0	0	0	0
Gm22996	0	0	0	0	0	0
Gm26499	0	0	0	1	3	0
Gm25646	0	0	0	0	0	0
Gm26498	0	0	0	0	0	0
Gm23660	0	0	0	0	0	0
Gm23933	0	0	0	0	0	0
Gm24862	0	0	0	0	0	0
Gm24866	0	0	0	0	0	0
Gm22348	0	0	0	0	0	0
Gm26466	0	0	0	0	0	0
Gm24799	0	0	0	0	0	0
Gm24088	0	0	0	0	0	0
Gm25463	0	0	0	0	0	0
Gm25229	0	0	0	0	0	0
Gm24528	0	0	0	0	0	0
Gm23356	0	0	0	0	0	0
Gm25449	0	0	0	0	0	0
Gm24872	0	0	0	0	0	0
Gm26337	0	0	0	0	0	0
Gm23145	0	2	0	0	0	0
Gm22130	0	1	0	0	0	0
Gm25988	1	0	0	1	0	0
Gm25221	70	39	60	42	34	40
Gm26389	0	0	0	0	0	0
Gm23471	1	0	0	0	1	0
Gm25120	0	0	0	0	0	0
Gm24418	0	0	0	0	0	0
Gm23687	0	0	0	0	3	0
Gm22393	0	0	0	2	0	0
Gm24639	0	0	0	0	0	0
Gm24566	0	0	0	0	0	0
Gm22111	0	0	0	0	0	0
Gm23076	6	16	4	0	1	1
Gm25874	0	0	0	0	0	0
Gm25088	0	0	0	0	0	0
Gm22510	0	0	0	0	0	0
Gm24983	0	0	0	0	0	0
Gm24027	1	1	0	1	1	0
Gm22524	0	0	0	0	0	0
Gm22630	0	0	0	0	2	0
Gm25741	0	0	0	0	0	0
Gm26059	0	0	0	0	0	0
Gm25175	0	0	0	0	0	0
Gm22511	0	0	0	0	0	0
Gm25077	0	0	0	0	0	0
Gm22834	5	10	7	0	1	2
Gm24926	0	0	0	0	0	0
Gm26200	0	0	0	0	0	0
Gm22632	0	0	0	0	0	0
Gm23254	1	0	0	7	3	4
Gm26390	0	0	1	0	0	0
Gm26366	0	2	1	1	0	3
Gm26336	0	0	0	0	0	0
Gm26283	13	8	6	5	5	2
Gm25098	2	0	0	2	1	0
Gm24702	0	0	0	0	0	0
Gm26432	0	0	0	0	0	0
Gm25462	0	0	0	0	0	0
Gm24495	5	9	6	2	4	3
Gm25523	0	0	0	0	0	0
Gm22255	0	2	0	0	0	4
Gm23449	0	0	0	1	0	0
Gm23310	0	1	0	0	1	0
Gm25461	0	0	0	0	0	0
Gm24310	0	0	0	0	2	0
Gm22909	0	0	0	0	0	0
Gm25823	0	0	0	0	0	0
Gm25647	0	0	0	0	0	0
Gm22252	0	0	0	0	0	0
Gm26392	0	0	0	0	0	0
Gm24219	0	0	0	0	0	0
Gm25230	0	0	2	0	0	0
Gm22627	0	0	0	0	0	0
Gm24585	0	0	0	0	0	0
Gm23305	0	0	0	0	0	0
Gm24206	0	0	0	0	0	0
Gm25085	0	0	0	0	0	0
Gm25209	0	0	0	0	0	0
Gm23682	0	0	0	0	0	0
Gm24654	0	0	0	0	0	0
Gm26334	0	0	0	0	0	0
Gm25742	0	0	0	0	0	0
Gm25585	0	0	0	0	0	0
Gm25840	0	1	1	1	2	1
Gm25089	0	0	0	0	0	0
Gm24040	0	0	0	0	0	0
Gm22050	0	0	0	0	0	0
Gm23286	0	0	0	0	0	0
Gm24021	189	174	241	134	171	100
Gm22274	0	0	0	0	0	0
Gm24652	1	3	1	0	1	3
Gm23618	0	0	0	0	0	0
Gm23688	1	0	0	0	1	0
Gm24570	0	1	0	0	0	0
Gm26467	0	0	0	0	0	0
Gm25194	0	0	0	0	0	0
Gm22640	0	0	0	0	0	0
Gm24952	0	0	0	0	0	0
Gm25087	0	0	0	0	0	0
Gm23944	0	0	0	0	0	0
Gm22629	0	0	0	0	0	0
Gm26374	0	0	0	0	0	0
Gm26284	0	0	0	0	0	0
Gm25452	0	0	2	0	0	0
Gm25984	3	1	3	23	16	12
Gm25146	0	0	0	0	0	0
Gm24759	1	0	0	0	0	0
Gm24100	0	0	0	0	0	0
Gm22253	0	0	0	1	0	4
Gm25017	0	0	0	0	0	0
Gm23575	0	0	0	0	0	0
Gm22391	0	0	0	0	0	0
Gm22449	8	2	5	3	6	2
Gm24137	5	1	1	3	1	0
Gm22912	0	0	0	0	0	0
Gm25710	0	0	0	0	0	0
Gm26434	0	4	1	0	2	2
Gm23560	0	0	0	0	0	0
Gm25870	0	0	0	0	0	0
Gm44831	0	0	0	0	0	0
Gm23862	0	0	0	0	0	0
Gm26504	0	0	0	0	0	0
Gm22285	0	0	0	0	0	0
Gm22131	0	0	0	0	2	0
Gm24153	0	0	0	0	0	0
Gm26365	3	1	4	1	1	1
Gm24609	0	0	0	0	0	0
Gm24264	0	0	0	0	0	0
Gm25155	0	0	0	0	0	0
Gm25816	0	0	0	0	0	0
Gm23141	0	0	0	0	0	0
Gm23767	0	0	0	0	0	0
Gm22417	7	7	4	5	3	6
Gm22584	1	0	2	1	0	0
Gm26270	0	0	0	0	0	0
Gm23089	0	0	0	0	0	0
Gm24711	0	0	0	0	0	0
Gm26188	0	0	0	0	0	0
Gm23265	0	0	0	0	0	0
Gm24518	0	1	0	4	5	3
Gm25944	0	0	0	0	0	0
Gm23047	0	2	0	0	0	0
Gm23953	0	0	0	0	0	0
Gm26332	0	0	0	0	0	0
Gm26032	0	0	0	0	0	0
Gm22863	1	7	0	2	4	0
Gm24618	0	0	0	0	0	0
Gm22046	0	0	0	0	0	0
Gm24760	0	0	0	0	0	0
Gm25350	4	8	10	15	7	5
Gm26502	0	0	0	1	0	1
Gm23313	7	6	5	3	2	1
Gm25471	0	0	0	0	0	0
Gm22776	3	6	3	6	12	4
Gm23446	0	0	0	1	2	0
Gm25210	0	0	1	0	0	0
Gm22128	0	0	0	0	0	0
Gm22851	0	0	0	0	0	0
Gm25074	0	0	0	0	0	0
Gm25157	0	0	0	0	0	0
Gm22631	0	0	0	0	0	0
Gm25474	0	0	0	0	0	0
Gm22941	0	2	1	0	0	0
Gm26246	0	0	0	0	1	2
Gm22047	0	0	0	0	0	0
Gm25597	0	0	0	0	0	0
Gm26097	3	1	3	0	1	0
Gm22258	0	0	0	0	0	0
Gm26201	7	11	10	4	3	4
Gm23619	0	0	0	0	0	0
Gm22812	0	0	0	0	0	0
Gm26433	0	0	0	0	0	0
Snord116l17	0	0	0	0	0	0
Gm25615	0	1	0	1	0	0
Snord116l16	0	0	0	0	0	0
Snord116l15	0	0	0	1	0	0
Snord116l14	0	0	0	0	0	0
Snord116l13	0	0	0	0	0	0
Snord116l2	0	4	2	4	1	1
Snord116l8	0	0	0	0	0	0
Snord116l7	0	0	0	0	0	0
Snord116l6	0	0	0	0	0	0
Snord116l5	0	0	0	0	0	0
Snord116l4	0	0	0	0	0	0
Snord116l3	0	0	0	0	0	0
Snord116l1	0	0	0	0	0	0
Snord116l9	0	0	0	0	0	0
Snord116l10	0	0	0	0	0	0
Snord116l11	0	0	0	0	0	0
Snord116l12	0	0	0	0	0	0
Gm22373	0	0	0	0	0	0
Gm38393	4	13	9	2	1	2
Snord64	91	73	89	27	34	25
Snord107	0	0	0	0	2	0
Snrpn	0	0	0	0	0	0
Snurf	0	0	0	0	0	0
Gm18908	0	0	0	0	0	0
Gm7367	1	0	0	0	0	0
Gm18129	1	0	0	1	0	1
Gm30196	1	14	10	7	7	0
Gm3198	0	0	0	0	0	0
Gm10297	0	0	0	0	0	0
Gm7394	0	0	0	0	0	0
Gm44644	1	0	2	3	0	2
Gm44643	0	0	0	0	0	0
A230006K03Rik	0	0	0	0	0	0
Gm38451	0	0	0	0	0	0
B230209E15Rik	1	0	2	0	2	0
Ube2nl	0	0	0	0	0	0
Gm25533	0	0	0	0	0	0
Gm23962	1	3	2	5	1	2
Mir344d-1	0	0	0	0	0	0
Mir344d-2	0	1	3	0	0	0
RP24-274B19.1	0	3	0	4	1	0
Gm23490	0	0	0	0	0	0
RP24-274B19.2	0	1	1	0	0	0
Gm22466	0	0	0	0	0	0
Mir344d-3	0	0	0	0	0	0
Gm23917	0	0	0	0	0	0
Mir344e	0	0	0	0	0	0
Mir344h-1	0	0	0	1	1	0
Mir344h-2	0	0	0	0	0	0
Gm23873	0	0	0	0	0	1
Mir344b	0	0	0	0	0	1
Mir344c	0	0	0	0	0	0
Mir344	0	0	0	0	0	0
Gm19032	1007	1135	897	327	405	313
RP23-54G8.4	0	0	0	0	0	0
A330076H08Rik	0	0	0	0	0	0
Gm3257	2	6	4	2	0	1
Mir344-2	0	0	1	0	0	0
Mir344g	0	0	0	3	4	3
Gm23431	0	0	0	0	0	0
Mir344f	0	0	0	0	0	0
Gm24923	0	0	0	0	0	0
Mir344i	0	0	0	0	0	0
Gm9801	0	0	0	0	1	0
Gm45009	1	0	0	1	0	2
Ndn	0	0	0	0	0	0
Magel2	0	0	0	0	0	0
Mkrn3	0	0	0	0	0	0
Peg12	0	0	0	0	0	0
Atp5l-ps1	0	2	1	3	2	1
Vmn2r-ps61	0	0	0	0	0	0
Gm22494	0	0	0	0	0	0
Gm9445	0	0	0	0	0	0
A26c2	0	0	0	0	0	0
Gm32111	1	1	2	1	2	0
Chrna7	0	0	2	0	0	0
Gm44741	3	1	2	0	6	2
4930554H23Rik	1	0	0	0	0	0
Otud7a	0	0	0	0	0	0
Gm5898	0	0	0	0	0	0
Gm22228	0	1	0	0	0	9
Gm3307	0	0	0	0	0	0
Gm44718	0	0	0	0	0	0
Gm7482	0	0	1	5	2	2
Gm44720	0	0	0	0	0	0
Klf13	0	0	0	0	0	0
Gm27252	0	0	0	0	0	0
E030018B13Rik	6	9	14	8	7	7
Gm44627	0	0	1	0	0	0
Gm45052	0	1	0	0	0	0
Gm45055	0	0	0	0	0	0
Gm45054	0	0	0	0	0	0
Gm20670	0	0	0	0	0	0
Trpm1	0	1	9	2	1	0
Gm44722	0	1	0	0	0	0
Mir211	0	0	0	0	0	0
Gm44719	0	0	0	0	0	3
Mir6416	0	0	0	0	0	0
Gm44765	0	0	0	0	0	0
Gm45212	0	0	0	0	0	0
Mtmr10	0	0	0	0	0	0
Gm20457	0	0	0	0	0	0
Fan1	0	0	0	0	0	0
Mphosph10	0	0	0	0	1	0
Mcee	0	0	0	0	0	0
Apba2	0	0	0	0	0	0
Gm45082	3	5	4	0	5	0
Gm44721	0	0	1	0	0	2
Fam189a1	83	105	106	60	56	29
Ndnl2	0	0	0	0	0	0
Gm25249	0	0	0	0	0	0
Gm17908	0	3	10	1	2	2
Gm17918	0	0	0	0	0	0
Gm45214	0	0	2	0	1	0
Tjp1	0	0	0	2	0	0
Gm44794	1	1	1	2	1	0
Gm44795	0	0	0	0	0	0
Gm44792	0	0	0	0	0	0
Gm7546	0	1	0	1	0	2
BC046251	0	0	0	0	0	0
Tarsl2	0	0	0	0	0	0
Tm2d3	0	0	0	0	0	0
Gm7551	0	0	0	0	0	0
1810008I18Rik	0	0	0	0	0	0
Gm20684	55	44	57	64	37	22
Pcsk6	0	0	0	0	0	0
Gm45213	1	0	0	2	0	0
Snrpa1	0	0	0	0	0	0
Gm45081	0	0	0	0	0	0
Selenos	0	0	0	0	0	0
Gm26827	0	0	0	0	0	0
Chsy1	0	0	0	0	0	0
Gm23042	0	0	0	0	0	0
Gm18988	0	0	0	0	0	0
Gm45080	0	0	0	0	0	0
Lrrk1	0	0	0	0	0	0
Gm44752	0	0	0	0	0	0
Gm10974	0	0	0	0	0	0
Gm23957	0	0	0	0	0	0
Mir7057	0	0	0	1	0	0
Aldh1a3	0	0	5	2	3	2
Gm44753	0	0	0	1	0	1
Gm44754	5	0	1	1	1	2
Gm45067	0	0	0	0	0	1
Gm44610	6	3	7	4	2	6
Asb7	0	0	0	0	0	0
Lins1	0	0	0	0	0	0
Gm45098	6	5	7	1	3	2
Gm10623	0	1	0	1	2	2
Cers3	0	0	0	0	0	0
Adamts17	2	0	0	1	0	0
Gm44755	52	24	53	15	17	27
Gm44609	1	0	1	0	0	0
Gm17909	2	2	0	1	2	5
Gm45101	2	2	1	0	0	0
1700112J16Rik	0	0	0	0	0	0
Lysmd4	0	0	0	0	0	0
Mef2a	0	0	0	0	0	0
Gm44667	0	0	0	0	0	0
Gm44668	0	0	0	0	0	0
Gm45099	0	0	0	0	0	0
Lrrc28	1	1	1	0	1	0
Gm23233	0	0	0	0	0	0
Gm32983	0	0	0	0	0	0
Gm45100	0	0	1	2	0	0
Ttc23	1	0	0	0	0	0
Gm44669	0	0	0	0	0	0
Synm	0	0	0	0	0	0
Gm45102	0	0	0	0	0	2
Gm23844	2	2	7	1	7	0
Gm7583	0	0	0	0	0	0
4833412C05Rik	0	0	0	0	0	0
Gm45103	0	0	0	0	0	0
Gm44841	0	0	0	0	0	0
Gm44666	0	0	0	0	0	0
Igf1r	0	0	0	0	0	0
Pgpep1l	0	0	0	0	0	0
Gm16157	0	0	0	0	0	0
Fam169b	0	0	0	0	1	0
4930405G09Rik	0	0	0	0	0	0
Gm44888	0	0	0	0	0	0
Gm16158	0	0	0	0	0	3
Gm44889	0	1	0	1	0	0
4933436H12Rik	0	0	0	0	0	0
Gm44885	5	2	4	1	1	0
Gm44886	0	0	0	0	0	0
Gm44887	0	0	0	0	0	0
Gm5334	0	0	0	0	0	0
Gm44692	0	0	0	0	0	0
Arrdc4	0	0	0	0	0	0
Gm44994	1	0	0	0	0	0
Gm23795	0	0	0	0	0	0
Gm44691	0	0	0	0	0	0
Gm5342	0	1	1	0	0	1
Gm44533	0	0	0	0	0	0
Gm45385	0	1	0	0	0	0
Gm44534	0	0	0	0	5	0
4930402F11Rik	0	0	0	0	0	0
Gm23815	0	0	0	0	0	0
Gm44535	0	0	0	0	0	0
Gm7627	0	0	0	0	0	0
Gm44690	0	0	0	0	0	0
4933423L19Rik	2	0	1	0	0	0
Gm24120	0	0	0	0	0	0
Gm44536	0	0	0	0	0	0
Gm44537	0	0	0	0	0	0
Gm29327	0	0	0	0	0	0
Gm44946	0	0	0	0	0	0
Gm44948	0	0	0	2	0	0
Nr2f2	0	0	0	0	0	0
B130024G19Rik	2	1	1	1	0	0
Gm28258	1	0	0	0	0	0
Gm44532	11	1	3	4	0	1
Gm7656	0	3	0	0	0	1
Gm44811	0	0	0	0	0	0
Gm35842	0	0	0	0	0	0
Gm44813	0	0	0	0	0	0
Gm44812	0	0	0	0	0	0
Gm44809	0	0	0	0	0	0
Gm44808	0	0	0	0	0	0
Gm24880	19	20	16	8	7	18
Gm44810	155	183	162	107	131	105
Gm34783	0	0	0	0	0	0
Gm36011	0	0	0	0	0	0
Gm45065	0	0	0	0	0	0
6030442E23Rik	0	0	0	0	0	0
Gm29328	0	2	1	0	3	2
Gm45066	0	0	0	1	0	0
Gm10172	0	0	0	0	0	0
Gm10295	0	0	0	0	5	2
Gm29295	0	1	0	7	1	0
Gm44689	0	0	0	0	0	0
Gm7675	3185	2615	2391	5148	4294	2281
Gm44688	0	0	0	0	0	0
Gm17988	0	0	0	0	0	0
4930441H08Rik	0	0	1	0	0	0
Gm36633	0	0	0	0	0	0
1700011C11Rik	2	0	0	153	321	459
Mctp2	0	0	0	0	0	0
Gm45107	4	0	5	1	1	2
RP24-462O14.2	0	0	0	0	0	0
Gm37620	0	0	0	0	0	0
Gm28745	0	0	0	0	0	0
Rpl17-ps10	0	0	0	0	0	0
Gm28744	0	0	0	0	0	0
Kansl2-ps	2	4	4	1	0	3
Gm7693	31	54	32	68	58	49
Gm5335	0	0	0	0	0	0
Gm44725	3	0	0	0	0	0
Gm6567	0	0	0	0	0	0
4933435G04Rik	0	0	0	0	0	0
Gm28746	0	0	0	1	0	1
Gm44670	0	0	0	0	0	0
Gm30075	1	1	3	1	1	1
4930429H19Rik	0	0	0	0	2	0
A730056A06Rik	3	3	5	1	1	0
Rgma	0	0	0	3	0	2
Gm44758	0	0	0	0	0	0
Gm44645	0	0	0	0	0	0
Chd2	0	0	0	0	0	0
Gm44553	47	46	33	29	38	17
Gm44552	0	0	0	0	0	0
C130083A15Rik	16	9	18	15	15	9
Gm44686	6	6	4	3	0	1
1810026B05Rik	0	0	0	0	0	0
Gm44734	0	0	0	0	0	0
Gm44738	0	0	0	0	0	0
Gm44737	0	0	0	0	0	0
Gm26176	0	0	0	0	0	0
Gm23020	2	3	1	0	0	0
Gm44736	0	0	0	0	0	0
Gm44739	0	0	0	0	0	0
Gm4971	0	0	1	1	0	0
Gm18805	0	0	0	0	0	0
Gm45007	0	0	0	0	0	0
A830073O21Rik	0	0	0	0	0	0
Fam174b	0	0	0	0	1	0
Gm45005	0	0	0	0	0	0
Gm10619	0	0	0	0	0	0
Gm45006	0	0	0	0	0	0
Gm21269	0	0	0	0	1	0
Mir7234	0	0	0	0	0	0
St8sia2	0	0	0	0	0	0
Gm45003	0	0	0	0	0	0
Gm38143	0	4	0	3	4	1
Gm45004	0	0	0	0	0	0
Gm27459	0	0	0	0	0	0
Slco3a1	0	0	0	0	1	0
Gm7580	0	0	0	0	0	0
Gm7726	0	0	0	0	0	0
Gm30459	0	0	0	0	0	0
0610006L08Rik	0	0	0	0	0	0
Gm44903	0	0	0	0	0	0
Gm44902	0	0	0	0	0	0
Gm22326	0	0	0	0	0	0
Gm44904	0	0	0	0	0	0
Sv2b	0	0	0	0	0	0
Gm24858	0	0	1	1	0	0
1500012K07Rik	2739	3207	2914	2130	2346	1642
Gm10161	8	2	4	3	4	0
Gm44962	0	0	0	0	0	0
Akap13	0	0	0	3	0	3
Gm44834	0	0	0	0	0	0
Gm44695	0	2	0	0	0	0
Gm44835	2	0	0	0	0	1
Gm25282	0	0	0	0	0	0
Gm44694	0	0	0	0	0	0
Gm23251	0	0	0	0	0	0
AU020206	0	0	0	0	0	0
Gm26729	0	0	0	0	0	0
Klhl25	0	0	5	0	3	0
Gm45139	0	0	0	0	0	0
Gm45211	0	0	0	0	0	0
Agbl1	1	0	0	0	0	0
Gm5597	0	0	0	0	0	0
2310001K20Rik	0	0	0	0	0	0
Gm45210	0	0	0	0	0	0
Gm44879	1	0	0	0	0	0
Gm44608	1	1	1	0	0	0
Gm23239	1	1	0	6	7	4
Gm44358	0	0	0	0	0	0
Ntrk3	2	0	0	0	0	0
Gm44607	1	0	0	0	0	0
4921513I08Rik	0	0	0	0	0	0
Gm44606	0	0	0	0	0	0
Gm9885	10	9	8	9	11	5
Mrpl46	0	1	1	0	0	1
Gm45059	1	3	3	0	1	1
Mrps11	0	0	0	0	0	0
5330411O13Rik	0	0	0	0	0	0
Det1	0	0	0	0	0	0
1700011D18Rik	0	0	0	0	0	0
Gm44730	1	0	0	0	0	0
Mir7-2	0	0	0	0	0	0
Aen	0	0	0	0	0	0
Isg20	0	0	0	0	0	0
Gm44815	0	0	0	0	0	0
Gm26633	0	0	0	0	0	0
Acan	0	0	0	0	0	0
Hapln3	0	0	0	0	0	0
Mfge8	0	0	0	0	0	0
Gm44558	0	0	0	1	0	0
Abhd2	0	0	0	0	0	0
Gm44639	0	0	0	0	0	0
Gm44557	0	0	0	0	0	0
Gm24224	0	0	0	0	2	0
Rlbp1	1	1	0	1	0	0
Fanci	0	0	1	0	0	0
Gm16017	0	0	0	5	4	0
Polg	2	0	1	2	0	0
Gm10616	0	0	0	0	0	0
Mir9-3hg	0	0	0	0	0	0
Mir9-3	0	0	0	2	0	0
A330074H02Rik	1	6	7	2	3	2
2900037B21Rik	0	0	0	0	0	0
Gm37608	0	0	0	0	0	0
Gm35040	0	0	0	0	0	0
Gm45168	0	0	0	0	0	3
Gm45169	3	5	0	2	4	0
Rhcg	0	0	0	0	0	0
Gm45170	0	0	0	2	0	0
Ticrr	0	0	0	0	0	0
Kif7	5	9	10	8	4	3
9330171B17Rik	0	0	0	0	0	0
Plin1	0	0	0	0	0	0
Pex11a	0	0	0	0	0	0
Gm44706	0	0	0	0	0	0
Wdr93	0	0	0	0	0	0
Gm44705	0	0	0	0	0	0
Mesp1	0	0	0	0	0	0
Mesp2	0	0	0	0	0	0
Anpep	0	0	0	0	0	0
Gm44974	0	0	0	0	0	0
Ap3s2	0	0	0	0	0	0
Gm26646	0	0	0	0	0	0
5430400D12Rik	35	37	26	43	26	12
Gm44950	0	0	0	0	0	1
Arpin	0	1	0	0	0	0
Gm24541	0	0	0	0	1	0
Zfp710	1	0	0	4	0	0
Gm44951	0	0	0	0	0	0
Gm21057	0	1	0	0	0	0
Gm44949	0	1	0	0	2	0
Idh2	0	0	0	0	0	0
Gm45203	0	0	0	0	0	0
Gm45202	0	0	0	0	0	0
Sema4b	14	21	35	18	12	10
Gm45206	0	1	0	0	0	0
Cib1	0	0	0	0	0	0
Gdpgp1	3	1	1	0	2	0
Gm15504	0	0	0	0	0	0
Ttll13	2	1	2	0	0	1
Ngrn	0	0	0	0	0	0
Vps33b	2	2	5	9	8	0
Rccd1	0	0	0	2	0	0
Prc1	0	0	0	0	0	1
6330403N20Rik	4	4	5	0	2	0
Unc45a	0	0	1	1	1	0
Hddc3	0	0	0	0	0	0
Gm18310	1	0	0	0	0	0
Man2a2	4	2	5	1	2	1
Fes	0	0	0	0	0	0
Furin	0	0	0	0	0	0
Gm44851	0	0	1	2	0	0
Gm15544	0	0	0	0	0	0
Blm	0	0	0	0	0	0
Ndufab1-ps	0	0	0	0	0	0
Crtc3	60	69	74	28	33	38
Gm44931	0	0	0	0	0	0
Gm15880	0	0	0	0	1	0
Iqgap1	0	0	0	0	0	0
Gm44649	0	0	0	0	0	0
Zscan2	0	0	0	0	0	0
Wdr73	0	0	0	0	0	0
Nmb	0	0	0	0	0	0
Sec11a	0	0	0	0	0	0
Gm16171	0	0	0	0	0	0
RP24-120F8.1	0	0	0	0	0	0
Gm18782	0	5	0	0	0	0
Gm44899	0	0	0	0	0	0
Zfp592	0	0	0	0	0	0
Gm44967	4	2	10	2	3	0
Alpk3	0	0	0	0	0	0
Platr32	0	3	0	0	1	0
Slc28a1	0	0	0	0	0	0
Gm6415	0	0	0	0	0	0
Gm44968	0	0	0	1	1	7
Pde8a	0	0	0	0	0	0
Gm7180	0	0	0	0	0	0
Rps17	0	1	0	0	1	0
Cpeb1	0	0	0	0	0	0
Rpl7a-ps9	247	358	299	223	190	180
Cpeb1os1	0	0	2	2	0	0
Ap3b2	0	0	0	0	0	0
WI1-648A4.1	0	0	0	0	0	0
BC048679	0	0	0	0	0	0
2900076A07Rik	0	0	0	0	0	0
Mir1839	0	0	0	0	0	0
Mir1839.1	0	0	0	0	0	1
Gm37829	1	0	2	0	2	0
Fsd2	0	0	0	0	0	0
Whamm	0	0	0	0	0	0
RP24-225H21.2	0	0	0	0	0	0
Homer2	0	2	0	3	0	3
Gm44570	4	1	1	10	4	0
Gm26149	60	36	35	42	33	17
Gm18806	0	0	0	0	0	0
Fam103a1	0	0	0	0	0	0
3110040N11Rik	0	0	0	0	0	0
Gm45016	0	0	0	0	0	0
RP23-423B21.1	0	0	0	0	0	0
Btbd1	0	0	0	0	0	0
Gm10160	0	0	0	0	0	0
Tm6sf1	0	0	0	0	0	0
Gm45014	2	0	0	0	0	0
RP23-423B21.6	0	0	0	0	0	0
Hdgfrp3	0	0	0	0	0	0
Gm45088	0	0	0	0	0	0
Gm25907	1	3	15	7	8	5
Bnc1	0	1	0	1	2	0
4833418N17Rik	0	0	0	0	0	0
Gm20744	0	0	0	0	0	0
Gm45056	0	0	0	0	0	0
Gm45087	0	0	0	0	0	0
Gm45090	0	0	0	0	0	0
Gm45089	0	0	0	0	0	0
Sh3gl3	0	0	0	0	0	0
Adamtsl3	0	0	0	0	0	0
Gm44919	3	0	0	1	1	0
Saxo2	0	0	0	1	3	1
Efl1	0	0	0	0	0	0
Gm44917	0	0	0	0	0	0
RP23-75I5.1	0	0	0	0	0	0
Gm44916	0	0	1	1	0	0
4933406J10Rik	0	0	0	0	0	0
n-R5s154	0	1	3	0	3	2
1700010L04Rik	0	0	0	1	0	0
Gm44915	0	0	0	0	0	0
Mex3b	0	0	0	0	0	0
4933430H16Rik	0	0	0	0	0	0
Gm6112	12	18	13	14	8	5
Gm22934	0	1	7	1	1	0
A530021J07Rik	0	0	0	0	0	0
5930435M05Rik	1	1	4	1	0	1
Gm44845	1	0	0	1	0	0
Gm44724	0	0	0	0	0	1
Gm44723	2	4	2	0	1	1
Gm7957	0	0	0	0	0	0
Gm44991	0	0	0	0	0	0
Gm10610	1	1	0	0	0	0
Tmc3	0	0	0	0	0	0
Gm16638	1	2	0	0	0	1
Stard5	2	5	1	6	3	4
RP24-252B21.3	0	0	0	0	0	0
Il16	0	0	0	0	0	0
2310044K18Rik	0	0	0	0	0	0
Phgdh-ps1	0	0	0	0	0	0
Gm7964	2	0	0	0	0	7
Cfap161	0	0	0	0	0	0
Gm44993	0	0	0	0	0	0
Gm44529	2	0	0	0	0	0
Gm44528	0	0	0	0	0	0
Gm44531	0	0	0	0	0	0
Gm44530	0	0	0	0	0	0
Mesdc1	0	0	0	2	0	0
Mesdc2	0	0	0	0	0	0
RP24-343G19.3	0	0	0	0	0	0
Cemip	0	0	0	0	0	0
Abhd17c	0	0	0	0	0	0
Gm26708	0	0	0	0	0	0
Gm22177	0	2	0	0	0	0
Gm44826	0	0	0	0	0	0
Gm44827	0	0	0	0	0	0
Arnt2	0	0	0	0	1	2
Gm25790	0	0	0	0	1	0
Gm44556	0	0	0	0	0	0
Gm44933	0	0	0	0	0	0
Gm45175	0	0	0	0	0	0
Gm2115	0	0	0	0	0	0
Gm45174	0	0	0	0	0	0
Gm44928	0	0	0	0	0	0
Fah	0	0	0	0	0	0
Zfand6	0	0	0	0	0	0
2610206C17Rik	0	0	0	0	0	0
Gm18958	0	0	0	0	0	0
Vmn2r-ps62	1	4	1	1	0	0
Gm6155	0	0	0	0	0	0
Olfr291	0	0	0	0	0	0
Gm8018	1	0	1	0	1	0
Olfr290	0	0	1	0	0	0
Gm18560	0	0	0	0	0	0
Vmn2r65	0	0	0	0	0	0
Vmn2r66	0	0	0	1	0	0
Vmn2r-ps64	0	0	0	1	0	0
Vmn2r-ps65	0	0	1	0	1	5
Vmn2r-ps66	0	0	0	0	0	0
Vmn2r-ps67	0	0	0	0	0	0
Gm18358	0	0	0	0	0	0
Vmn2r67	0	0	0	0	0	0
Vmn2r-ps68	0	0	0	0	1	0
Vmn2r68	0	0	0	0	0	0
Gm20414	0	0	0	0	1	0
Gm20415	0	0	0	0	0	0
Vmn2r-ps69	2	0	0	1	0	1
Vmn2r69	0	0	0	0	0	0
Gm18359	0	0	0	0	0	0
Gm44578	0	0	0	2	0	0
Vmn2r-ps70	0	0	0	0	0	0
Gm18360	0	0	0	0	0	0
Vmn2r70	0	0	0	3	4	1
Vmn2r71	0	0	0	0	0	0
Vmn2r-ps72	0	0	0	0	0	0
Vmn2r-ps73	0	0	0	0	0	0
Vmn2r-ps74	0	0	0	0	0	0
Vmn2r72	0	0	0	0	0	0
Gm18779	2	0	0	1	0	0
Gm18354	0	0	0	0	0	0
Vmn2r-ps75	0	0	0	0	0	0
Vmn2r-ps76	1	0	0	0	0	0
Vmn2r-ps77	0	0	0	0	0	0
Vmn2r73	0	0	0	0	0	0
Vmn2r-ps78	0	0	0	0	0	0
Vmn2r74	0	0	0	0	0	0
Vmn2r-ps79	0	0	0	0	0	0
Vmn2r-ps80	0	0	0	0	0	0
